date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,lambda_jump,jump_mean,jump_std,abs_error,sq_error
2025-08-20,2025-10-17,P,6395.78,6250.0,0.1589041095890411,83.0,85.08932367415466,imex_euler,0.01,-0.005,0.03,2.089323674154656,4.365273415383111
2025-08-18,2025-09-19,C,335.16,330.0,0.0876712328767123,20.55,20.89642677084642,imex_euler,0.01,-0.005,0.03,0.3464267708464206,0.12001150755907841
2025-08-18,2025-09-19,C,335.16,330.0,0.0876712328767123,20.55,20.88225076585143,imex_euler,0.01,-0.005,0.03,0.33225076585143043,0.11039057140886205
2025-08-18,2025-09-19,C,335.16,335.0,0.0876712328767123,18.0,17.37593224016264,imex_euler,0.01,-0.005,0.03,0.6240677598373594,0.3894605688684201
2025-08-18,2025-09-19,C,335.16,335.0,0.0876712328767123,18.0,17.363174770734318,imex_euler,0.01,-0.005,0.03,0.636825229265682,0.4055463726292884
2025-08-18,2025-10-17,P,335.16,320.0,0.1643835616438356,16.85,16.562220517028184,imex_euler,0.01,-0.005,0.03,0.28777948297181766,0.08281703081952668
2025-08-18,2025-10-17,P,335.16,320.0,0.1643835616438356,16.85,16.587940657884808,imex_euler,0.01,-0.005,0.03,0.26205934211519377,0.06867509878984818
2025-08-18,2025-09-19,P,174.03,160.0,0.0876712328767123,4.125,4.186617437014427,imex_euler,0.01,-0.005,0.03,0.061617437014427345,0.003796708544226921
2025-08-18,2025-09-19,P,174.03,160.0,0.0876712328767123,4.125,4.190097445573249,imex_euler,0.01,-0.005,0.03,0.06509744557324915,0.004237677420162135
2025-08-18,2025-09-19,P,174.03,165.0,0.0876712328767123,5.574999999999999,5.717302801694312,imex_euler,0.01,-0.005,0.03,0.14230280169431264,0.02025008737005087
2025-08-18,2025-09-19,P,174.03,165.0,0.0876712328767123,5.574999999999999,5.721841821431374,imex_euler,0.01,-0.005,0.03,0.1468418214313747,0.021562520521283733
2025-08-18,2025-09-19,P,174.03,170.0,0.0876712328767123,7.4,7.3356535378662056,imex_euler,0.01,-0.005,0.03,0.0643464621337948,0.0041404671891358885
2025-08-18,2025-09-19,P,174.03,170.0,0.0876712328767123,7.4,7.3412367800959935,imex_euler,0.01,-0.005,0.03,0.0587632199040069,0.003453116013486673
2025-08-18,2025-09-19,P,174.03,172.5,0.0876712328767123,8.5,8.681934679475427,imex_euler,0.01,-0.005,0.03,0.18193467947542707,0.033100227595826384
2025-08-18,2025-09-19,P,174.03,172.5,0.0876712328767123,8.5,8.688306649871919,imex_euler,0.01,-0.005,0.03,0.1883066498719188,0.03545939438598542
2025-08-18,2025-10-17,P,6449.15,5700.0,0.1643835616438356,20.1,20.946774003322112,imex_euler,0.01,-0.005,0.03,0.8467740033221105,0.7170262127021536
2025-08-18,2025-10-17,P,6449.15,5700.0,0.1643835616438356,20.1,21.02175320634389,imex_euler,0.01,-0.005,0.03,0.9217532063438902,0.8496289734052423
2025-08-19,2025-09-19,P,6411.37,5500.0,0.084931506849315,5.300000000000001,6.492800883748762,imex_euler,0.01,-0.005,0.03,1.1928008837487614,1.422773948271826
2025-08-19,2025-09-19,P,6411.37,5500.0,0.084931506849315,5.300000000000001,6.508800833712352,imex_euler,0.01,-0.005,0.03,1.2088008337123517,1.4611994555836765
2025-08-19,2025-09-19,P,6411.37,5550.0,0.084931506849315,5.800000000000001,6.993155477923176,imex_euler,0.01,-0.005,0.03,1.1931554779231757,1.4236199944980816
2025-08-19,2025-09-19,P,6411.37,5550.0,0.084931506849315,5.800000000000001,7.0101070087492054,imex_euler,0.01,-0.005,0.03,1.2101070087492047,1.4643589726239479
2025-08-19,2025-09-19,P,6411.37,5700.0,0.084931506849315,7.699999999999999,8.92324013557354,imex_euler,0.01,-0.005,0.03,1.2232401355735405,1.4963164292779738
2025-08-19,2025-09-19,P,6411.37,5700.0,0.084931506849315,7.699999999999999,8.947242322910673,imex_euler,0.01,-0.005,0.03,1.2472423229106742,1.5556134120596143
2025-08-19,2025-10-17,P,6411.37,5800.0,0.1616438356164383,28.6,28.93169690049292,imex_euler,0.01,-0.005,0.03,0.33169690049291845,0.11002283379660904
2025-08-19,2025-10-17,P,6411.37,5800.0,0.1616438356164383,28.6,29.034146672051317,imex_euler,0.01,-0.005,0.03,0.4341466720513161,0.188483332853233
2025-08-19,2025-09-26,P,6411.37,5100.0,0.1041095890410958,4.300000000000001,4.255232068376452,imex_euler,0.01,-0.005,0.03,0.04476793162354831,0.0020041677018506968
2025-08-19,2025-09-26,P,6411.37,5100.0,0.1041095890410958,4.300000000000001,4.264341313820307,imex_euler,0.01,-0.005,0.03,0.03565868617969414,0.0012715419000619101
2025-08-19,2025-09-30,P,6411.37,5700.0,0.1150684931506849,12.85,13.45628260822027,imex_euler,0.01,-0.005,0.03,0.6062826082202708,0.3675786010303744
2025-08-19,2025-09-30,P,6411.37,5700.0,0.1150684931506849,12.85,13.499909786130264,imex_euler,0.01,-0.005,0.03,0.6499097861302641,0.4223827301078856
